ticker,company_name,sector,industry,country,market_cap_bucket,market_cap,price,ret_21d,ret_63d,ret_126d,ret_252d,volatility,valuation_score,quality_score,momentum_score,risk_score,blended_score,upside_to_fair_value,sws_snowflake_score,scenario_downside,size_metric,color_metric_default,drilldown_label,source,updated_at,quality_flag
IVG.MI,,,,Italy,,,,,,,,,,,,,,,,,1.0,,IVG.MI | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
JPM,,,,,,,,,,,,,,,,,,,,,1.0,,JPM | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
LDO.MI,,,,Italy,,,,,,,,,,,,,,,,,1.0,,LDO.MI | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
LLY,,,,,,,,,,,,,,,,,,,,,1.0,,LLY | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
MA,,,,,,,,,,,,,,,,,,,,,1.0,,MA | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
MB.MI,,,,Italy,,,,,,,,,,,,,,,,,1.0,,MB.MI | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
MC.PA,,,,France,,,,,,,,,,,,,,,,,1.0,,MC.PA | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
META,,,,,,,,,,,,,,,,,,,,,1.0,,META | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
MONC.MI,,,,Italy,,,,,,,,,,,,,,,,,1.0,,MONC.MI | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
MRK,,,,,,,,,,,,,,,,,,,,,1.0,,MRK | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
MSFT,,,,,,,,,,,,,,,,,,,,,1.0,,MSFT | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
NEXI.MI,,,,Italy,,,,,,,,,,,,,,,,,1.0,,NEXI.MI | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
NVDA,,,,,,,,,,,,,,,,,,,,,1.0,,NVDA | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
OR.PA,,,,France,,,,,,,,,,,,,,,,,1.0,,OR.PA | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
PG,,,,,,,,,,,,,,,,,,,,,1.0,,PG | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
PIRC.MI,,,,Italy,,,,,,,,,,,,,,,,,1.0,,PIRC.MI | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
PRY.MI,,,,Italy,,,,,,,,,,,,,,,,,1.0,,PRY.MI | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
PST.MI,,,,Italy,,,,,,,,,,,,,,,,,1.0,,PST.MI | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
RACE.MI,,,,Italy,,,,,,,,,,,,,,,,,1.0,,RACE.MI | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
REC.MI,,,,Italy,,,,,,,,,,,,,,,,,1.0,,REC.MI | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
SAN.PA,,,,France,,,,,,,,,,,,,,,,,1.0,,SAN.PA | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
SAP.DE,,,,Germany,,,,,,,,,,,,,,,,,1.0,,SAP.DE | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
SIE.DE,,,,Germany,,,,,,,,,,,,,,,,,1.0,,SIE.DE | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
SRG.MI,,,,Italy,,,,,,,,,,,,,,,,,1.0,,SRG.MI | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
STLAM.MI,,,,Italy,,,,,,,,,,,,,,,,,1.0,,STLAM.MI | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
STM.MI,,,,Italy,,,,,,,,,,,,,,,,,1.0,,STM.MI | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
SU.PA,,,,France,,,,,,,,,,,,,,,,,1.0,,SU.PA | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
TEN.MI,,,,Italy,,,,,,,,,,,,,,,,,1.0,,TEN.MI | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
TIT.MI,,,,Italy,,,,,,,,,,,,,,,,,1.0,,TIT.MI | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
TRN.MI,,,,Italy,,,,,,,,,,,,,,,,,1.0,,TRN.MI | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
TTE.PA,,,,France,,,,,,,,,,,,,,,,,1.0,,TTE.PA | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
UCG.MI,,,,Italy,,,,,,,,,,,,,,,,,1.0,,UCG.MI | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
UNH,,,,,,,,,,,,,,,,,,,,,1.0,,UNH | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
UNI.MI,,,,Italy,,,,,,,,,,,,,,,,,1.0,,UNI.MI | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
V,,,,,,,,,,,,,,,,,,,,,1.0,,V | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
XOM,,,,,,,,,,,,,,,,,,,,,1.0,,XOM | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
