screener_rank,ticker,screener_score,universe_source,updated_at,source_count,is_etf,is_adr,index_membership,country,company_name,fundamental_matched,scenario_downside,robustness_status
48,MRK,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False,static_sp500_core_sample,,,,,WARN
49,MSFT,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False,static_sp500_core_sample,,,,,WARN
50,NEXI.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib,Italy,,,,WARN
51,NVDA,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False,static_sp500_core_sample,,,,,WARN
52,OR.PA,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False,static_euro_stoxx_50,France,,,,WARN
53,PG,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False,static_sp500_core_sample,,,,,WARN
54,PIRC.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib,Italy,,,,WARN
55,PRY.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib,Italy,,,,WARN
56,PST.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib,Italy,,,,WARN
57,RACE.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib,Italy,,,,WARN
58,REC.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib,Italy,,,,WARN
59,SAN.PA,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False,static_euro_stoxx_50,France,,,,WARN
60,SAP.DE,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False,static_euro_stoxx_50,Germany,,,,WARN
61,SIE.DE,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False,static_euro_stoxx_50,Germany,,,,WARN
62,SRG.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib,Italy,,,,WARN
63,STLAM.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib,Italy,,,,WARN
64,STM.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib,Italy,,,,WARN
65,SU.PA,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False,static_euro_stoxx_50,France,,,,WARN
66,TEN.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib,Italy,,,,WARN
67,TIT.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib,Italy,,,,WARN
68,TRN.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib,Italy,,,,WARN
69,TTE.PA,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False,static_euro_stoxx_50,France,,,,WARN
70,UCG.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib,Italy,,,,WARN
71,UNH,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False,static_sp500_core_sample,,,,,WARN
72,UNI.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib,Italy,,,,WARN
73,V,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False,static_sp500_core_sample,,,,,WARN
74,XOM,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False,static_sp500_core_sample,,,,,WARN
