model,status,panel_rows,feature_count,train_rows,test_rows,fit_rows,prediction_rows,ic,rank_ic,sharpe_long_short,sharpe_long_short_net_cost,r2_os
ols,OK,275000,121,137780,137220,137780,137220,0.017460,-0.045052,0.621199,0.620836,-0.001067
rf,OK,275000,121,137780,137220,15000,137220,-0.010179,-0.008460,0.620230,0.619867,0.000024
gbrt,OK,275000,121,137780,137220,15000,137220,-0.011676,-0.018491,0.596911,0.596573,0.000063
ensemble,OK,275000,121,137780,137220,15000,137220,-0.005668,-0.027175,0.621406,0.621042,-0.001980
